timestamp,symbol,event,side,mode,price,size,margin_used,pnl_pct,pnl_usdt,balance,entry_type,score,score_adjusted,killzone,dow,regime,adx_value,adx_bull,htf_range_pos,htf_label,sqz_quadrant,sqz_on,ob_bull_dist_pct,ob_bear_dist_pct,compression_state,candle_count,mae_pct,mfe_pct,duration_minutes,exit_reason,ob_width_pct,pending_distance_pct,note
2026-05-20T22:14:24.451239,BTC/USDT:USDT,open_short_standalone,short,paper,70624.5,0.002549,60.01,,,4944.25,C,1,-1,London_Open,6,trending,48.7,True,0.9184480089588621,PREM,,False,,,,0,,,,,,,sizing=0.60
2026-05-20T22:14:24.681230,BTC/USDT:USDT,tp1_short,short,paper,69832.2,0.0005098,,1.12,0.4,4956.66,,2,2,,2,trending,35.5,True,0.5940324525688626,MID,,False,,,,0,-1.201,1.122,0.0,tp1,,,
2026-05-20T22:14:24.704190,BTC/USDT:USDT,tp2_short,short,paper,68694.0,0.00040784,,2.73,0.79,4967.05,,2,2,,2,trending,35.5,True,0.5940324525688626,MID,,False,,,,0,-1.201,2.733,0.0,tp2,,,
2026-05-20T22:14:25.137995,BTC/USDT:USDT,tp3_short,short,paper,68143.6,0.000489408,,3.51,1.21,4979.78,,2,3,,2,trending,27.5,True,0.05899932080597822,DISC,,False,,,,0,-1.201,3.513,0.0,tp3,,,
2026-05-20T22:14:26.305942,BTC/USDT:USDT,short_trail_close,short,paper,69731.3,0.0011419520000000001,,1.26,1.02,5007.69,,0,-2,,2,ranging,22.1,True,0.8705972574725661,PREM,,False,,,,0,-1.201,7.42,0.0,trail,,,
2026-05-20T22:14:29.132257,BTC/USDT:USDT,open_short_standalone,short,paper,65860.4,0.003188,69.99,,,4937.7,C,2,2,Asia_Open,2,expansion,30.7,True,0.4800207576543844,MID,,False,,,,0,,,,,,,sizing=0.70
2026-05-20T22:14:29.178259,BTC/USDT:USDT,tp1_short,short,paper,64847.9,0.0006376,,1.54,0.65,4952.34,,1,1,,2,expansion,28.6,True,0.44676280013062236,MID,,False,,,,0,0.0,1.537,0.0,tp1,,,
2026-05-20T22:14:29.281914,BTC/USDT:USDT,dca_short_1,short,paper,66936.9,0.002241,50.0,-1.63,,4902.34,,,,,2,,,,,,,,,,,,,,,,,,
2026-05-20T22:14:29.321876,BTC/USDT:USDT,dca_short_2,short,paper,68625.6,0.003279,75.01,-3.41,,4827.33,,,,,2,,,,,,,,,,,,,,,,,,
2026-05-20T22:14:29.357957,BTC/USDT:USDT,short_trail_close,short,paper,69104.9,0.008070399999999998,,-2.71,-14.7,4993.63,,3,1,,2,expansion,28.4,True,0.7306279862582761,PREM,,False,,,,0,-3.408,1.537,0.0,trail,,,
2026-05-20T22:14:31.103634,BTC/USDT:USDT,open_long,long,paper,66539.9,0.004509,100.01,,,4893.62,C,5,6,NY_AM,1,exhaustion,15.7,False,0.6452306921501303,MID,,False,,,,7,,,,,,,adapt=1.00
2026-05-20T22:14:31.119940,BTC/USDT:USDT,tp1,long,paper,67692.5,0.0009018,,1.73,1.04,4914.66,,5,7,,2,exhaustion,15.7,False,0.6452306921501303,MID,,False,,,,7,0.0,1.732,0.0,tp1,,,
2026-05-20T22:14:31.136241,BTC/USDT:USDT,tp2,long,paper,68137.4,0.0007214400000000001,,2.4,1.15,4931.81,,4,3,,2,exhaustion,15.0,False,0.7302700307068909,PREM,,False,,,,8,0.0,2.401,0.0,tp2,,,
2026-05-20T22:14:31.329740,BTC/USDT:USDT,tp3,long,paper,69464.5,0.0008657280000000001,,4.4,2.53,4953.55,,3,1,,2,exhaustion,13.1,False,0.87512281391236,PREM,,False,,,,11,0.0,4.395,0.0,tp3,,,
2026-05-20T22:14:32.712816,BTC/USDT:USDT,trailing_stop,long,paper,66198.4,0.002020032,,-0.51,-0.69,4997.66,,4,5,,2,trending,25.5,True,0.060333146048849075,DISC,,False,,,,0,-0.513,10.688,0.0,trail,,,
2026-05-20T22:14:32.818778,BTC/USDT:USDT,open_short_standalone,short,paper,67504.8,0.003111,70.0,,,4927.66,C,2,2,London_Open,0,trending,26.4,True,0.3326744925493709,MID,,False,,,,0,,,,,,,sizing=0.70
2026-05-20T22:14:32.884865,BTC/USDT:USDT,dca_short_1,short,paper,68939.9,0.002176,50.0,-2.13,,4877.65,,,,,2,,,,,,,,,,,,,,,,,,
2026-05-20T22:14:33.092685,BTC/USDT:USDT,dca_short_2,short,paper,70242.0,0.003203,75.0,-3.15,,4802.66,,,,,2,,,,,,,,,,,,,,,,,,
2026-05-20T22:14:34.056693,BTC/USDT:USDT,dca_short_3,short,paper,72421.2,0.004142,99.99,-5.1,,4702.67,,,,,2,,,,,,,,,,,,,,,,,,
2026-05-20T22:14:35.001004,BTC/USDT:USDT,hard_stop_short,short,paper,74360.3,0.012632,,-6.14,-54.34,4943.32,,1,-1,,2,trending,39.2,True,0.9927335640138396,PREM,,False,,,,0,-6.141,0.0,0.0,hard_stop,,,
2026-05-20T22:14:36.181527,BTC/USDT:USDT,open_short_standalone,short,paper,70643.9,0.001784,42.01,,,4901.31,C,2,2,Asia_Open,5,trending,29.8,True,0.3132570101211216,MID,,False,,,,0,,,,,,,sizing=0.42
2026-05-20T22:14:36.463823,BTC/USDT:USDT,tp1_short,short,paper,68881.5,0.0003568,,2.49,0.63,4910.34,,2,3,,2,trending,25.9,True,0.10671048080248974,DISC,,False,,,,0,-0.135,2.495,0.0,tp1,,,
2026-05-20T22:14:36.469148,BTC/USDT:USDT,tp2_short,short,paper,68881.5,0.00028544000000000003,,2.49,0.5,4917.56,,2,3,,2,trending,25.9,True,0.10671048080248974,DISC,,False,,,,0,-0.135,2.495,0.0,tp2,,,
2026-05-20T22:14:36.718681,BTC/USDT:USDT,tp3_short,short,paper,68170.6,0.000342528,,3.5,0.85,4926.47,,1,2,,2,trending,31.1,True,0.042449127468149855,DISC,,False,,,,0,-0.135,3.501,0.0,tp3,,,
2026-05-20T22:14:37.018512,BTC/USDT:USDT,short_trail_close,short,paper,70876.6,0.000799232,,-0.33,-0.19,4945.11,,3,1,,2,expansion,28.1,True,0.794222459797762,PREM,,False,,,,0,-1.141,4.249,0.0,trail,,,
2026-05-20T22:14:37.246213,BTC/USDT:USDT,open_short_standalone,short,paper,70067.0,0.004282,100.01,,,4845.1,C,3,3,NY_AM,1,exhaustion,23.7,True,0.5652144861686479,MID,,False,,,,0,,,,,,,sizing=1.00
2026-05-20T22:14:37.296455,BTC/USDT:USDT,tp1_short,short,paper,69205.0,0.0008564000000000001,,1.23,0.74,4865.84,,2,2,,2,exhaustion,23.3,True,0.4549423136888067,MID,,False,,,,0,0.0,1.23,0.0,tp1,,,
2026-05-20T22:14:37.436031,BTC/USDT:USDT,short_trail_close,short,paper,70938.1,0.0034256,,-1.24,-2.98,4942.86,,3,2,,2,exhaustion,19.3,False,0.8018174528932241,PREM,,False,,,,0,-1.243,1.23,0.0,trail,,,
2026-05-20T22:14:38.825535,BTC/USDT:USDT,open_short_standalone,short,paper,66251.2,0.001902,42.0,,,4900.86,C,2,2,Asia_Open,0,trending,32.5,True,0.48843549380001794,MID,,False,,,,29,,,,,,,sizing=0.42
2026-05-20T22:14:38.872837,BTC/USDT:USDT,dca_short_1,short,paper,67579.1,0.00222,50.01,-2.0,,4850.85,,,,,2,,,,,,,,,,,,,,,,,,
2026-05-20T22:14:39.213401,BTC/USDT:USDT,tp1_short,short,paper,66099.3,0.0008244000000000002,,1.29,0.71,4869.97,,3,3,,2,trending,26.8,True,0.5013877645426147,MID,,True,,,,0,-2.004,1.295,0.0,tp1,,,
2026-05-20T22:14:39.477652,BTC/USDT:USDT,dca_short_2,short,paper,69069.1,0.003257,74.99,-3.14,,4794.98,,,,,2,,,,,,,,,,,,,,,,,,
2026-05-20T22:14:39.738791,BTC/USDT:USDT,tp2_short,short,paper,66538.4,0.0013109200000000001,,2.17,1.93,4826.63,,2,2,,2,ranging,16.8,False,0.3707721177170571,MID,,True,,,,0,-3.14,2.166,0.0,tp2,,,
2026-05-20T22:14:40.876645,BTC/USDT:USDT,short_trail_close,short,paper,69051.9,0.0052436800000000006,,-1.53,-5.46,4940.05,,5,3,,2,ranging,18.6,False,0.8532455877953916,PREM,,False,,,,1,-3.14,2.936,0.0,trail,,,
2026-05-20T22:14:41.122658,BTC/USDT:USDT,open_long,long,paper,68817.9,0.002136,49.0,,,4891.05,A,5,6,Asia_Open,0,trending,26.8,True,0.5968591961671531,MID,,False,,,,6,,,,,,,adapt=1.00
2026-05-20T22:14:41.353181,BTC/USDT:USDT,tp1,long,paper,69886.7,0.0004272,,1.55,0.46,4901.31,,2,0,,2,expansion,26.5,True,0.8616709090614313,PREM,,False,,,,12,-1.434,1.553,0.0,tp1,,,
2026-05-20T22:14:41.366756,BTC/USDT:USDT,tp2,long,paper,71479.9,0.00034176,,3.87,0.91,4910.06,,2,0,,2,expansion,26.5,True,0.8616709090614313,PREM,,False,,,,12,-1.434,3.868,0.0,tp2,,,
2026-05-20T22:14:41.370582,BTC/USDT:USDT,tp3,long,paper,71479.9,0.00041011199999999997,,3.87,1.09,4920.56,,2,0,,2,expansion,26.5,True,0.8616709090614313,PREM,,False,,,,12,-1.434,3.868,0.0,tp3,,,
